[+] walking folders in D:/
[+] Walked 428,560 files! fps=56
[+] Walked 428,901 files! fps=68
[+] Walked 429,301 files! fps=80
[+] Walked 429,745 files! fps=88
[+] Walked 430,212 files! fps=93
[+] Walked 430,806 files! fps=118
[+] Walked 431,158 files! fps=70
[+] Walked 431,600 files! fps=88
[+] Walked 432,147 files! fps=109
[+] Walked 432,690 files! fps=108
[+] Walked 433,251 files! fps=112
[+] Walked 433,538 files! fps=57
[+] Walked 434,132 files! fps=118
[+] Walked 434,647 files! fps=103
[+] Walked 435,477 files! fps=166
[+] Walked 435,916 files! fps=87
[+] Walked 436,505 files! fps=117
[+] Walked 437,044 files! fps=107
[+] Walked 437,818 files! fps=154
[+] Walked 438,537 files! fps=143
[+] Walked 438,923 files! fps=77
[+] Walked 439,364 files! fps=88
[+] Walked 439,930 files! fps=113
[+] Walked 446,493 files! fps=1,312
[+] Walked 449,446 files! fps=590
[+] Walked 450,248 files! fps=160
[+] Walked 450,960 files! fps=142
[+] Walked 458,757 files! fps=1,559
[+] Walked 459,500 files! fps=148
[+] Walked 459,984 files! fps=96
[+] Walked 461,423 files! fps=287
[-] Error thrown when process file! [Errno 13] Permission denied: 'D:/OneDrive\\Desktop\\University\\TM111\\Block 1 Part 4 Weaving the web\\5.3.2 website\\website description.docx'
[+] Walked 462,684 files! fps=252
[+] Walked 463,540 files! fps=171
[+] Walked 470,628 files! fps=1,417
[+] Walked 473,328 files! fps=540
[+] Walked 479,329 files! fps=1,200
[+] Walked 479,918 files! fps=117
[+] Walked 480,448 files! fps=106
[+] Walked 480,958 files! fps=102
[+] Walked 482,278 files! fps=264
[+] Walked 482,854 files! fps=115
[+] Walked 484,182 files! fps=265
[+] Walked 485,782 files! fps=320
[+] Walked 486,825 files! fps=208
[+] Walked 494,578 files! fps=1,550
[+] Walked 495,510 files! fps=186
[+] Walked 496,609 files! fps=219
[+] Walked 497,870 files! fps=252
[+] Walked 499,419 files! fps=309
[+] Walked 505,832 files! fps=1,282
[+] Walked 518,658 files! fps=2,565
[+] Walked 536,484 files! fps=3,565
[+] Walked 544,776 files! fps=1,658
[+] Walked 553,282 files! fps=1,701
[+] Walked 559,298 files! fps=1,203
[+] Walked 560,706 files! fps=281
[+] Walked 564,666 files! fps=792
[+] Walked 567,538 files! fps=574
[+] Walked 569,632 files! fps=418
[+] Walked 574,961 files! fps=1,065
[+] Walked 579,078 files! fps=823
[+] Walked 585,206 files! fps=1,225
[+] Walked 591,721 files! fps=1,303
[+] Walked 597,945 files! fps=1,244
[+] Walked 604,273 files! fps=1,265
[+] Walked 609,604 files! fps=1,066
[+] Walked 615,255 files! fps=1,130
[+] Walked 619,302 files! fps=809
[+] Walked 624,046 files! fps=948
[+] Walked 629,351 files! fps=1,061
[+] Walked 633,586 files! fps=847
[+] Walked 637,365 files! fps=755
[+] Walked 639,327 files! fps=392
[+] Walked 642,200 files! fps=574
[+] Walked 645,164 files! fps=592
[+] Walked 648,161 files! fps=599
[+] Walked 651,845 files! fps=736
[+] Walked 654,113 files! fps=453
[+] Walked 656,503 files! fps=478
[+] Walked 661,189 files! fps=937
[+] Walked 665,311 files! fps=824
[+] Walked 668,945 files! fps=726
[+] Walked 673,782 files! fps=967
[+] Walked 677,446 files! fps=732
[+] Walked 681,728 files! fps=856
[+] Walked 686,239 files! fps=902
[+] Walked 690,162 files! fps=784
[+] Walked 693,686 files! fps=704
[+] Walked 696,187 files! fps=500
[+] Walked 699,755 files! fps=713
[+] Walked 703,357 files! fps=720
[+] Walked 706,625 files! fps=653
[+] Walked 710,230 files! fps=721
[+] Walked 712,963 files! fps=546
[+] Walked 716,703 files! fps=748
[+] Walked 719,761 files! fps=611
[+] Walked 722,678 files! fps=583
[+] Walked 725,966 files! fps=657
[+] Walked 728,184 files! fps=443
[+] Walked 728,767 files! fps=116
[+] Walked 729,361 files! fps=118
[+] Walked 730,728 files! fps=273
[+] Walked 738,740 files! fps=1,602
[+] Walked 754,770 files! fps=3,206
[+] Walked 757,369 files! fps=519
[+] Walked 758,411 files! fps=208
[+] Walked 768,438 files! fps=2,005
[+] Walked 770,771 files! fps=466
[+] Walked 773,048 files! fps=455
[+] Walked 774,096 files! fps=209
[+] Walked 774,868 files! fps=154
[+] Walked 775,622 files! fps=150
[+] Walked 776,657 files! fps=207
[+] Walked 777,319 files! fps=132
[+] Walked 781,851 files! fps=906
[+] Walked 782,320 files! fps=93
[+] Walked 783,907 files! fps=317
[+] Walked 784,520 files! fps=122
[+] Walked 785,029 files! fps=101
[+] Walked 786,186 files! fps=231
[+] Walked 786,879 files! fps=138
[+] Walked 787,786 files! fps=181
[+] Walked 788,854 files! fps=213
[+] Walked 790,980 files! fps=425
[+] Walked 791,938 files! fps=191
[+] Walked 795,645 files! fps=741
[+] Walked 799,547 files! fps=780
[+] Walked 802,089 files! fps=508
[+] Walked 807,639 files! fps=1,110
[+] Walked 813,709 files! fps=1,214
[+] Walked 814,633 files! fps=184
[+] Walked 817,126 files! fps=498
[+] Walked 820,961 files! fps=767
[+] Walked 825,254 files! fps=858
[+] Walked 829,574 files! fps=864
[+] Walked 841,386 files! fps=2,362
[+] Walked 855,215 files! fps=2,765
[+] Walked 865,004 files! fps=1,957
[+] Walked 870,467 files! fps=1,092
[+] Walked 878,812 files! fps=1,669
[+] Walked 891,782 files! fps=2,594
[+] Walked 908,894 files! fps=3,422
[+] Walked 925,869 files! fps=3,395
[+] Walked 942,312 files! fps=3,288
[+] Walked 964,815 files! fps=4,500
[+] Walked 974,756 files! fps=1,988
[+] Walked 982,659 files! fps=1,580
[+] Walked 986,094 files! fps=687
[+] Walked 988,571 files! fps=495
[+] Walked 992,613 files! fps=808
[+] Walked 996,562 files! fps=789
[+] Walked 998,547 files! fps=397
[+] Walked 1,001,013 files! fps=493
[+] Walked 1,017,259 files! fps=3,249
[+] Walked 1,024,605 files! fps=1,469
[+] Walked 1,039,621 files! fps=3,003
[+] Walked 1,044,847 files! fps=1,045
[+] Walked 1,054,011 files! fps=1,832
[+] Walked 1,071,709 files! fps=3,539
[+] Walked 1,073,308 files! fps=319
[+] Walked 1,073,873 files! fps=113
[+] Walked 1,075,909 files! fps=407
[+] Walked 1,080,613 files! fps=940
[+] Walked 1,089,260 files! fps=1,729
[+] Walked 1,097,278 files! fps=1,603
[+] Walked 1,115,829 files! fps=3,710
[+] Walked 1,131,939 files! fps=3,222
[+] Walked 1,137,708 files! fps=1,153
[+] Walked 1,138,687 files! fps=195
[+] Walked 1,139,936 files! fps=249
[+] Walked 1,141,776 files! fps=368
[+] Walked 1,142,663 files! fps=177
[+] Walked 1,144,950 files! fps=457
[+] Walked 1,147,829 files! fps=575
[+] Walked 1,148,871 files! fps=208
[+] Walked 1,150,468 files! fps=319
[+] Walked 1,151,455 files! fps=197
