Name,Series,Form,Type,Capacity,Cache,Price/GB
Toshiba DT01ACA200,,3.5",7200RPM,2TB,64MB,£0.027
Western Digital WD1003FBYX,RE4,3.5",7200RPM,1TB,64MB,
Seagate ST1000LM048,BarraCuda,2.5",5400RPM,1TB,128MB,£0.041
Seagate ST500LM030,BarraCuda,2.5",5400RPM,500GB,128MB,£0.072
Seagate ST2000DM009,BarraCuda Pro,3.5",7200RPM,2TB,128MB,£0.051
Seagate ST6000DM004,BarraCuda Pro,3.5",7200RPM,6TB,256MB,£0.033
Western Digital WD101KRYZ,Gold,3.5",7200RPM,10TB,256MB,£0.033
Western Digital WD5003AZEX,Caviar Black,3.5",7200RPM,500GB,64MB,£0.112
Seagate ST31000333AS,BarraCuda,3.5",7200RPM,1TB,32MB,£0.095
Toshiba HDWD120XZSTA,P300,3.5",7200RPM,2TB,64MB,
Hitachi 0S04037,Deskstar NAS,3.5",7200RPM,10TB,256MB,£0.029
Western Digital WD5000AADS,Caviar Green,3.5",5400RPM,500GB,32MB,£0.099
Hitachi 0F12455,Ultrastar 7K3000,3.5",7200RPM,2TB,64MB,£0.024
Western Digital WD3200AAJB,Caviar Blue,3.5",7200RPM,320GB,8MB,
Western Digital WD6001FZWX,Black ,3.5",7200RPM,6TB,128MB,
Seagate ST1000DM004,,3.5",7200RPM,1TB,64MB,£0.050
Western Digital WD5001FZWX,Black,3.5",7200RPM,5TB,128MB,
Western Digital WD5003ABYX,RE4,3.5",7200RPM,500GB,64MB,£0.159
Seagate ST8000AS0002,Archive,3.5",5900RPM,8TB,128MB,£0.025
Seagate ST10000VX0004,SkyHawk,3.5",5900RPM,10TB,256MB,£0.026
Toshiba MBF245LRC,,2.5",10025RPM,450GB,16MB,
Western Digital WD5000AVCS,AV-GP,3.5",5400RPM,500GB,16MB,£0.036
Seagate ST3500418AS,Barracuda,3.5",7200RPM,500GB,16MB,
Hitachi 0F23668,Ultrastar He8,3.5",7200RPM,8TB,128MB,£0.033
Western Digital WD101KFBX,Red Pro,3.5",7200RPM,10TB,256MB,£0.035
Seagate ST3250312AS,Barracuda,3.5",7200RPM,250GB,8MB,
Seagate ST3750640NS,Barracuda ES,3.5",7200RPM,750GB,16MB,
Western Digital WD10SPCX,WD Blue,2.5",5400RPM,1TB,16MB,£0.058
Hitachi HUA721010KLA330,Ultrastar ,3.5",7200RPM,1TB,32MB,
Seagate ST8000NE0011,Enterprise NAS,3.5",7200RPM,8TB,256MB,£0.056
Seagate ST10000VN0004,IronWolf,3.5",7200RPM,10TB,256MB,£0.026
Western Digital WD20EFRX,Red,3.5",5400RPM,2TB,64MB,£0.035
Western Digital WD2003FYYS,RE4,3.5",7200RPM,2TB,64MB,£0.057
Seagate ST32000645NS,Constellation ES.2,3.5",7200RPM,2TB,64MB,
Seagate ST4000LM024,BarraCuda,2.5",5400RPM,4TB,128MB,£0.033
Seagate ST4000NM0024,,3.5",7200RPM,4TB,128MB,£0.045
Seagate ST4000NM0033,Constellation ES.3,3.5",7200RPM,4TB,128MB,£0.065
