Manufacturer,Name,Clock Speed,Cores,Multi-threading,TDP
AMD,AMD FX-9590,4.7GHz,8,No,220Watts
Intel,Intel Core i7-4770K (OEM/Tray),3.5GHz,4,Yes:Hyper-Threading,84Watts
Intel,Intel Celeron E3500,2.7GHz,2,No,65Watts
Intel,Intel Core i5-3570,3.4GHz,4,No,77Watts
Intel,Intel Core i5-7500 (OEM/Tray),3.4GHz,4,No,65Watts
Intel,Intel Core i7-5960X,3.0GHz,8,Yes:Hyper-Threading,140Watts
Intel,Intel Core i7-2700K,3.5GHz,4,Yes:Hyper-Threading,95Watts
Intel,Intel Core i5-8600K (OEM/Tray),3.6GHz,6,No,95Watts
AMD,AMD A10-9700E,3.0GHz,4,No,35Watts
Intel,Intel Core i7-7820X,3.6GHz,8,Yes:Hyper-Threading,140Watts
AMD,AMD A6-7400K,3.5GHz,2,No,65Watts
AMD,AMD Ryzen 7 1700X,3.4GHz,8,Yes,95Watts
Intel,Intel Core i7-4790K,4.0GHz,4,Yes:Hyper-Threading,88Watts
Intel,Intel Pentium G630T,2.3GHz,2,No,35Watts
Intel,Intel Core i5-7640X,4.0GHz,4,No,112Watts
AMD,AMD 3850,1.3GHz,4,No,25Watts
Intel,Intel Core i7-7700 (OEM/Tray),3.6GHz,4,Yes:Hyper-Threading,65Watts
AMD,AMD A4-3300 (OEM/Tray),2.5GHz,2,No,65Watts
Intel,Intel Core i7-4960X Extreme Edition,3.6GHz,6,Yes:Hyper-Threading,130Watts
Intel,Intel Core i5-2500K,3.3GHz,4,No,95Watts
AMD,AMD Athlon X4 950,3.5GHz,4,No,65Watts
Intel,Intel Core i3-7100T,3.4GHz,2,Yes:Hyper-Threading,35Watts
Intel,Intel Core i3-8100 (OEM/Tray),3.6GHz,4,No,65Watts
Intel,Intel Core i7-5930K,3.5GHz,6,Yes:Hyper-Threading,140Watts
Intel,Intel Core i5-4690,3.5GHz,4,No,84Watts
Intel,Intel Core i5-2310,2.9GHz,4,No,95Watts
Intel,Intel Core i7-4790K (OEM/Tray),4.0GHz,4,Yes:Hyper-Threading,88Watts
AMD,AMD A4-7300,3.8GHz,2,No,65Watts
AMD,AMD A8-7650K,3.3GHz,4,No,95Watts
Intel,Intel Core i5-4590,3.3GHz,4,No,84Watts
AMD,AMD A8-7650K,3.3GHz,4,No,95Watts
Intel,Intel Xeon E5-2630 V4,2.2GHz,10,Yes:Hyper-Threading,85Watts
Intel,Intel Core i5-4670,3.4GHz,4,No,84Watts
Intel,Intel Xeon E5-2687W V2,3.4GHz,8,Yes:Hyper-Threading,150Watts
AMD,AMD FX-6300 (OEM/Tray),3.5GHz,6,No,95Watts
Intel,Intel Core i5-8400 (OEM/Tray),2.8GHz,6,No,65Watts
Intel,Intel Core i3-4160,3.6GHz,2,Yes:Hyper-Threading,54Watts
Intel,Intel Core i7-990X Extreme Edition,3.47GHz,6,Yes:Hyper-Threading,130Watts
Intel,Intel Xeon E5-2680 V2,2.8GHz,10,Yes:Hyper-Threading,115Watts
Intel,Intel Core i5-3330,3.0GHz,4,No,77Watts
AMD,AMD FX-8320E,3.2GHz,8,No,95Watts
Intel,Intel Xeon E5-2697 V4,2.3GHz,18,Yes:Hyper-Threading,145Watts
Intel,Intel Core 2 Quad Q6600,2.4GHz,4,No,100Watts
Intel,Intel Core i3-6300,3.8GHz,2,Yes:Hyper-Threading,51Watts
AMD,AMD FX-6350,3.9GHz,6,No,125Watts
Intel,Intel Core i7-2600K,3.4GHz,4,Yes:Hyper-Threading,95Watts
AMD,AMD 2650,1.45GHz,2,No,25Watts
Intel,Intel Xeon E5-2620 V4,2.1GHz,8,Yes:Hyper-Threading,85Watts
Intel,Intel Pentium G4560 (OEM/Tray),3.5GHz,2,Yes:Hyper-Threading,54Watts
Intel,Intel Core i7-7700T,2.9GHz,4,Yes:Hyper-Threading,35Watts
Intel,Intel Core i5-660,3.33GHz,2,Yes:Hyper-Threading,73Watts
Intel,Intel Xeon E5-1650 V4,3.6GHz,6,Yes:Hyper-Threading,140Watts
AMD,AMD FX-8370,4.0GHz,8,No,125Watts
AMD,AMD A12-9800,3.8GHz,4,No,65Watts
AMD,AMD FX-4350,4.2GHz,4,No,125Watts
Intel,Intel Pentium G4520,3.6GHz,2,No,51Watts
Intel,Intel Xeon E3-1230 V6,3.5GHz,4,Yes:Hyper-Threading,72Watts
AMD,AMD FX-9370 (OEM/Tray),4.4GHz,8,No,220Watts
Intel,Intel Core i5-4440,3.1GHz,4,No,84Watts
Intel,Intel Xeon E5-2620,2.0GHz,6,Yes:Hyper-Threading,95Watts
Intel,Intel Xeon E5-2603 V4,1.7GHz,6,No,85Watts
Intel,Intel Core i7-4930K,3.4GHz,6,Yes:Hyper-Threading,130Watts
Intel,Intel Xeon E5-2690 V2,3.0GHz,10,Yes:Hyper-Threading,130Watts
Intel,Intel Core 2 Duo E8200,2.66GHz,2,No,65Watts
Intel,Intel Core i7-4820K,3.7GHz,4,Yes:Hyper-Threading,130Watts
Intel,Intel Core i3-8350K (OEM/Tray),4.0GHz,4,No,91Watts
Intel,Intel Core i5-7600K (OEM/Tray),3.8GHz,4,No,91Watts
Intel,Intel Core i3-4130,3.4GHz,2,Yes:Hyper-Threading,54Watts
AMD,AMD Athlon II X4 620 (OEM/Tray),2.6GHz,4,No,95Watts
Intel,Intel Core i5-6500 (OEM/Tray),3.2GHz,4,No,65Watts
Intel,Intel Core i7-2600,3.4GHz,4,Yes:Hyper-Threading,95Watts
Intel,Intel Core 2 Quad Q8200,2.33GHz,4,No,95Watts
