Manufacturer,Name,Clock Speed,Cores,Multi-threading,TDP
Intel,Intel Xeon E5-2695 V4,2.1GHz,18,Yes:Hyper-Threading,120Watts
Intel,Intel Pentium E2160,1.8GHz,2,No,65Watts
Intel,Intel Xeon E5-2640 V3,2.6GHz,8,Yes:Hyper-Threading,90Watts
Intel,Intel Xeon E5-2603 V3,1.6GHz,6,No,85Watts
Intel,Intel Core i5-680,3.6GHz,2,Yes:Hyper-Threading,73Watts
Intel,Intel Core 2 Quad Q6600 (OEM/Tray),2.4GHz,4,No,100Watts
Intel,Intel Xeon E5-1620 V4 (OEM/Tray),3.5GHz,4,Yes:Hyper-Threading,140Watts
Intel,Intel Pentium G3258 (OEM/Tray),3.2GHz,2,No,53Watts
Intel,Intel Xeon E5-2650L V3 (OEM/Tray),1.8GHz,12,Yes:Hyper-Threading,65Watts
Intel,Intel Pentium G870,3.1GHz,2,No,65Watts
AMD,AMD Phenom II X6 1045T,2.7GHz,6,No,95Watts
AMD,AMD FX-8120,3.1GHz,8,No,125Watts
AMD,AMD A6-7400K (OEM/Tray),3.5GHz,2,No,65Watts
AMD,AMD A4-6300,3.7GHz,2,No,65Watts
AMD,AMD A10-7870K,3.9GHz,4,No,95Watts
Intel,Intel Core i7-7740X (OEM/Tray),4.3GHz,4,Yes:Hyper-Threading,112Watts
Intel,Intel Core i3-7300,4.0GHz,2,Yes:Hyper-Threading,51Watts
Intel,Intel Xeon E3-1220 V6,3.0GHz,4,No,72Watts
Intel,Intel Xeon E3-1240L V5 (OEM/Tray),2.1GHz,4,Yes:Hyper-Threading,25Watts
Intel,Intel Core i3-7350K (OEM/Tray),4.2GHz,2,Yes:Hyper-Threading,60Watts
AMD,AMD Phenom II X3 710,2.6GHz,3,No,95Watts
Intel,Intel Core i3-540,3.06GHz,2,Yes:Hyper-Threading,73Watts
Intel,Intel Xeon E5-2630 V3 (OEM/Tray),2.4GHz,8,Yes:Hyper-Threading,85Watts
Intel,Intel Core i7-6950X (OEM/Tray),3.0GHz,10,Yes:Hyper-Threading,140Watts
Intel,Intel Pentium G4600 (OEM/Tray),3.6GHz,2,Yes:Hyper-Threading,51Watts
Intel,Intel Core i3-550,3.2GHz,2,Yes:Hyper-Threading,73Watts
Intel,Intel Xeon E5-2650 V4,2.2GHz,12,Yes:Hyper-Threading,105Watts
Intel,Intel Pentium G3240,3.1GHz,2,No,53Watts
Intel,Intel Core i7-6800K (OEM/Tray),3.4GHz,6,Yes:Hyper-Threading,140Watts
Intel,Intel Core i7-3770S,3.1GHz,4,Yes:Hyper-Threading,65Watts
AMD,AMD A10-7850K,3.7GHz,4,No,95Watts
Intel,Intel Core 2 Quad Q9650,3.0GHz,4,No,95Watts
Intel,Intel Core i5-7500T,2.7GHz,4,No,35Watts
Intel,Intel Core i3-3245,3.4GHz,2,Yes:Hyper-Threading,55Watts
Intel,Intel Xeon E5-2670 V2,2.5GHz,10,Yes:Hyper-Threading,115Watts
AMD,AMD Athlon II X2 240 (OEM/Tray),2.8GHz,2,No,65Watts
Intel,Intel Xeon E5-1660,3.3GHz,6,Yes:Hyper-Threading,130Watts
Intel,Intel Core i3-3240,3.4GHz,2,Yes:Hyper-Threading,55Watts
Intel,Intel Core i7-980X Extreme Edition,3.33GHz,6,Yes:Hyper-Threading,130Watts
Intel,Intel Xeon E5-2687W V3,3.1GHz,10,Yes:Hyper-Threading,160Watts
AMD,AMD FX-4300 (OEM/Tray),3.8GHz,4,No,95Watts
Intel,Intel Core i5-3470S,2.9GHz,4,No,65Watts
Intel,Intel Core i7-4770K,3.5GHz,4,Yes:Hyper-Threading,84Watts
AMD,AMD A10-5800K,3.8GHz,4,No,100Watts
Intel,Intel Xeon E5-2620 V3,2.4GHz,6,Yes:Hyper-Threading,85Watts
Intel,Intel Pentium G640,2.8GHz,2,No,65Watts
Intel,Intel Core i7-3820,3.6GHz,4,Yes:Hyper-Threading,130Watts
Intel,Intel Core i7-5960X (OEM/Tray),3.0GHz,8,Yes:Hyper-Threading,140Watts
Intel,Intel Core i3-6100T (OEM/Tray),3.2GHz,2,Yes:Hyper-Threading,35Watts
Intel,Intel Xeon E3-1270 V2 (OEM/Tray),3.5GHz,4,Yes:Hyper-Threading,69Watts
AMD,AMD Phenom II X6 1090T Black,3.2GHz,6,No,125Watts
Intel,Intel Core 2 Duo E6420,2.13GHz,2,No,65Watts
Intel,Intel Core i7-6950X,3.0GHz,10,Yes:Hyper-Threading,140Watts
AMD,AMD FX-8150 (OEM/Tray),3.6GHz,8,No,125Watts
AMD,AMD Athlon II X3 455,3.3GHz,3,No,95Watts
AMD,AMD Athlon II X2 260 (OEM/Tray),3.2GHz,2,No,65Watts
AMD,AMD Phenom II X4 940 Black (OEM/Tray),3.0GHz,4,No,125Watts
AMD,AMD FX-6120 (OEM/Tray),3.5GHz,6,No,95Watts
Intel,Intel Celeron 847 (OEM/Tray),1.1GHz,2,No,17Watts
AMD,AMD A10-7870K (OEM/Tray),3.9GHz,4,No,95Watts
AMD,AMD A10-6700 (OEM/Tray),3.7GHz,4,No,65Watts
Intel,Intel Pentium G2030,3.0GHz,2,No,55Watts
Intel,Intel Xeon E5-2630,2.3GHz,6,Yes:Hyper-Threading,95Watts
AMD,AMD A6-9500E,3.0GHz,2,No,35Watts
Intel,Intel Celeron G3930T (OEM/Tray),2.7GHz,2,No,35Watts
Intel,Intel Core i7-960,3.2GHz,4,Yes:Hyper-Threading,130Watts
Intel,Intel Xeon E3-1270 V6,3.8GHz,4,Yes:Hyper-Threading,72Watts
Intel,Intel Xeon E3-1240 V5,3.5GHz,4,Yes:Hyper-Threading,80Watts
Intel,Intel Core i5-7600T,2.8GHz,4,No,35Watts
Intel,Intel Core i9-7900X (OEM/Tray),3.3GHz,10,Yes:Hyper-Threading,140Watts
Intel,Intel Core i7-3930K,3.2GHz,6,Yes:Hyper-Threading,130Watts
Intel,Intel Xeon E5-2630 V2,2.6GHz,6,Yes:Hyper-Threading,80Watts
AMD,AMD Phenom II X4 810,2.6GHz,4,No,95Watts
Intel,Intel Xeon E5-2687W,3.1GHz,8,Yes:Hyper-Threading,150Watts
Intel,Intel Xeon E3-1225 V5,3.3GHz,4,No,80Watts
Intel,Intel Xeon E5-2683 V4,2.1GHz,16,Yes:Hyper-Threading,120Watts
Intel,Intel Xeon E5-2667 V2 (OEM/Tray),3.3GHz,8,Yes:Hyper-Threading,130Watts
Intel,Intel Core i5-2500,3.3GHz,4,No,95Watts
Intel,Intel Core i5-2320,3.0GHz,4,No,95Watts
Intel,Intel Xeon E3-1270 V5,3.6GHz,4,Yes:Hyper-Threading,80Watts
Intel,Intel Core i7-980,3.33GHz,6,Yes:Hyper-Threading,130Watts
Intel,Intel Core i3-530,2.93GHz,2,Yes:Hyper-Threading,73Watts
Intel,Intel Core i7-6900K (OEM/Tray),3.2GHz,8,Yes:Hyper-Threading,140Watts
Intel,Intel Celeron G540,2.5GHz,2,No,65Watts
AMD,AMD Athlon II X3 450,3.2GHz,3,No,95Watts
Intel,Intel Xeon E5-2630L V3 (OEM/Tray),1.8GHz,8,Yes:Hyper-Threading,55Watts
Intel,Intel Core i5-3350P,3.1GHz,4,No,69Watts
Intel,Intel Pentium G4500T (OEM/Tray),3.0GHz,2,No,35Watts
Intel,Intel Xeon E3-1275 V5,3.6GHz,4,Yes:Hyper-Threading,80Watts
Intel,Intel Core i7-950,3.06GHz,4,Yes:Hyper-Threading,130Watts
Intel,Intel Core i9-7960X (OEM/Tray),2.8GHz,16,Yes:Hyper-Threading,165Watts
Intel,Intel Core i7-975 Extreme Edition,3.33GHz,4,Yes:Hyper-Threading,130Watts
AMD,AMD FX-6100 (OEM/Tray),3.3GHz,6,No,95Watts
Intel,Intel Core i5-4570S,2.9GHz,4,No,65Watts
Intel,Intel Core i3-6300T,3.3GHz,2,Yes:Hyper-Threading,35Watts
Intel,Intel Xeon E3-1220,3.1GHz,4,No,80Watts
Intel,Intel Xeon E3-1235L V5 (OEM/Tray),2.0GHz,4,No,25Watts
Intel,Intel Core i5-5675C (OEM/Tray),3.1GHz,4,No,65Watts
Intel,Intel Celeron G1610,2.6GHz,2,No,55Watts
Intel,Intel Pentium G3420,3.2GHz,2,No,54Watts
Intel,Intel Core 2 Duo E8500,3.16GHz,2,No,65Watts
Intel,Intel Xeon E5-1650 (OEM/Tray),3.2GHz,6,Yes:Hyper-Threading,130Watts
AMD,AMD A10-5700,3.4GHz,4,No,65Watts
Intel,Intel Xeon E5-2670 V3,2.3GHz,12,Yes:Hyper-Threading,120Watts
Intel,Intel Core 2 Duo E4600,2.4GHz,2,No,65Watts
AMD,AMD Athlon 5370,2.2GHz,4,No,25Watts
AMD,AMD Phenom II X6 1075T,3.0GHz,6,No,95Watts
Intel,Intel Core i3-4330,3.5GHz,2,Yes:Hyper-Threading,54Watts
Intel,Intel Core 2 Quad Q9450,2.66GHz,4,No,95Watts
Intel,Intel Xeon E3-1225 V5 (OEM/Tray),3.3GHz,4,No,80Watts
Intel,Intel Xeon E3-1280,3.5GHz,4,Yes:Hyper-Threading,95Watts
Intel,Intel Core i5-3340,3.1GHz,4,No,77Watts
Intel,Intel Core i3-6320 (OEM/Tray),3.9GHz,2,Yes:Hyper-Threading,51Watts
Intel,Intel Core i7-6700T (OEM/Tray),2.8GHz,4,Yes:Hyper-Threading,35Watts
Intel,Intel Core i7-875K,2.93GHz,4,Yes:Hyper-Threading,95Watts
Intel,Intel Core 2 Quad Q9300 (OEM/Tray),2.5GHz,4,No,95Watts
AMD,AMD FX-8320E (OEM/Tray),3.2GHz,8,No,95Watts
AMD,AMD FX-4100 (OEM/Tray),3.6GHz,4,No,95Watts
Intel,Intel Core i3-4350,3.6GHz,2,Yes:Hyper-Threading,54Watts
AMD,AMD Athlon II X2 245,2.9GHz,2,No,65Watts
AMD,AMD Phenom II X6 1055T,2.8GHz,6,No,125Watts
AMD,AMD Phenom II X4 905e,2.5GHz,4,No,65Watts
Intel,Intel Pentium E5200 (OEM/Tray),2.5GHz,2,No,65Watts
Intel,Intel Core 2 Quad Q9450 (OEM/Tray),2.66GHz,4,No,95Watts
AMD,AMD FX-8370 (OEM/Tray),4.0GHz,8,No,125Watts
Intel,Intel Xeon E3-1225 V3,3.2GHz,4,No,84Watts
AMD,AMD Athlon II X4 641,2.8GHz,4,No,100Watts
Intel,Intel Core i5-4690 (OEM/Tray),3.5GHz,4,No,84Watts
Intel,Intel Core i5-7640X,4.0GHz,4,No,112Watts
AMD,AMD Athlon II X2 250 (OEM/Tray),3.0GHz,2,No,65Watts
AMD,AMD Phenom II X4 840,3.2GHz,4,No,95Watts
AMD,AMD Phenom II X4 965 (OEM/Tray),3.4GHz,4,No,125Watts
AMD,AMD Phenom II X6 1065T,2.7GHz,6,No,95Watts
AMD,AMD Sempron 145 (OEM/Tray),2.8GHz,1,No,45Watts
AMD,AMD A4-3420 (OEM/Tray),2.8GHz,2,No,65Watts
AMD,AMD FX-4320 (OEM/Tray),4.0GHz,4,No,95Watts
AMD,AMD FX-6350 (OEM/Tray),3.9GHz,6,No,125Watts
AMD,AMD Athlon II X4 630,2.8GHz,4,No,95Watts
AMD,AMD A8-3870K,3.0GHz,4,No,100Watts
Intel,Intel Core i5-7500T,2.7GHz,4,No,35Watts
Intel,Intel Core i7-7700T,2.9GHz,4,Yes:Hyper-Threading,35Watts
Intel,Intel Core i5-4670S (OEM/Tray),3.1GHz,4,No,65Watts
AMD,AMD FX-8370,4.0GHz,8,No,125Watts
AMD,AMD Athlon X4 860K,3.7GHz,4,No,95Watts
Intel,Intel Xeon E5-2640,2.5GHz,6,Yes:Hyper-Threading,95Watts
AMD,AMD A12-9800E,3.1GHz,4,No,35Watts
AMD,AMD Athlon X4 870K,3.9GHz,4,No,95Watts
Intel,Intel Celeron G3930 (OEM/Tray),2.9GHz,2,No,51Watts
AMD,AMD A4-5300,3.4GHz,2,No,65Watts
Intel,Intel Xeon E5-2665,2.4GHz,8,Yes:Hyper-Threading,115Watts
Intel,Intel Xeon E3-1220 V5,3.0GHz,4,No,80Watts
Intel,Intel Pentium G4560T (OEM/Tray),2.9GHz,2,Yes:Hyper-Threading,35Watts
Intel,Intel Core i3-6320,3.9GHz,2,Yes:Hyper-Threading,51Watts
Intel,Intel Pentium G4400T (OEM/Tray),2.9GHz,2,No,35Watts
Intel,Intel Core i7-4790S,3.2GHz,4,Yes:Hyper-Threading,65Watts
Intel,Intel Xeon E5-2695 V3,2.3GHz,14,Yes:Hyper-Threading,120Watts
Intel,Intel Core i5-7600 (OEM/Tray),3.5GHz,4,No,65Watts
Intel,Intel Xeon E5-1650 V3,3.5GHz,6,Yes:Hyper-Threading,140Watts
Intel,Intel Core i3-6098P,3.6GHz,2,Yes:Hyper-Threading,54Watts
Intel,Intel Core i7-3960X Extreme Edition,3.3GHz,6,Yes:Hyper-Threading,130Watts
Intel,Intel Xeon E3-1230 V6 (OEM/Tray),3.5GHz,4,Yes:Hyper-Threading,72Watts
Intel,Intel Pentium G3260 (OEM/Tray),3.3GHz,2,No,53Watts
Intel,Intel Pentium G3440,3.3GHz,2,No,53Watts
Intel,Intel Core i7-4790T (OEM/Tray),2.7GHz,4,Yes:Hyper-Threading,45Watts
Intel,Intel Core i5-4690K,3.5GHz,4,No,88Watts
Intel,Intel Celeron G3950 (OEM/Tray),3.0GHz,2,No,51Watts
AMD,AMD Phenom II X2 565 Black,3.4GHz,2,No,80Watts
AMD,AMD Opteron 6320,2.8GHz,8,No,115Watts
Intel,Intel Core i5-760,2.8GHz,4,No,95Watts
Intel,Intel Pentium G4620 (OEM/Tray),3.7GHz,2,Yes:Hyper-Threading,51Watts
AMD,AMD A4-4020,3.2GHz,2,No,65Watts
Intel,Intel Xeon E5-2670 (OEM/Tray),2.6GHz,8,Yes:Hyper-Threading,115Watts
Intel,Intel Xeon E3-1241 V3,3.5GHz,4,Yes:Hyper-Threading,80Watts
Intel,Intel Core i7-860 (OEM/Tray),2.8GHz,4,Yes:Hyper-Threading,95Watts
Intel,Intel Core i5-4690S,3.2GHz,4,No,65Watts
Intel,Intel Xeon E5-2650 V2,2.6GHz,8,Yes:Hyper-Threading,95Watts
Intel,Intel Core 2 Duo E4500,2.2GHz,2,No,65Watts
Intel,Intel Xeon E3-1260L V5 (OEM/Tray),2.9GHz,4,Yes:Hyper-Threading,45Watts
AMD,AMD Phenom II X4 940 Black,3.0GHz,4,No,125Watts
Intel,Intel Core 2 Quad Q8200 (OEM/Tray),2.33GHz,4,No,95Watts
Intel,Intel Core 2 Quad Q8400,2.66GHz,4,No,95Watts
Intel,Intel Xeon E5-2603 V3 (OEM/Tray),1.6GHz,6,No,85Watts
Intel,Intel Core i7-4770S,3.1GHz,4,Yes:Hyper-Threading,65Watts
Intel,Intel Xeon E3-1245 V3,3.4GHz,4,Yes:Hyper-Threading,84Watts
Intel,Intel Core i3-7100T (OEM/Tray),3.4GHz,2,Yes:Hyper-Threading,35Watts
Intel,Intel Core 2 Quad Q9400,2.66GHz,4,No,95Watts
Intel,Intel Xeon E5-2685 V3 (OEM/Tray),2.6GHz,12,Yes:Hyper-Threading,120Watts
Intel,Intel Core i3-7300 (OEM/Tray),4.0GHz,2,Yes:Hyper-Threading,51Watts
Intel,Intel Xeon E3-1280 V6 (OEM/Tray),3.9GHz,4,Yes:Hyper-Threading,72Watts
Intel,Intel Xeon E5-2687W (OEM/Tray),3.1GHz,8,Yes:Hyper-Threading,150Watts
Intel,Intel Xeon E3-1230 V5 (OEM/Tray),3.4GHz,4,Yes:Hyper-Threading,80Watts
Intel,Intel Xeon E5-2660 V3,2.6GHz,10,Yes:Hyper-Threading,105Watts
Intel,Intel Celeron G1630,2.8GHz,2,No,55Watts
AMD,AMD Athlon II X2 235e,2.7GHz,2,No,45Watts
Intel,Intel Pentium E5300,2.6GHz,2,No,65Watts
Intel,Intel Core i3-2100T,2.5GHz,2,Yes:Hyper-Threading,35Watts
AMD,AMD A8-3850,2.9GHz,4,No,100Watts
Intel,Intel Xeon E5-2667 V3 (OEM/Tray),3.2GHz,8,Yes:Hyper-Threading,135Watts
Intel,Intel Pentium G3430,3.3GHz,2,No,54Watts
Intel,Intel Xeon E5-2643 V4 (OEM/Tray),3.4GHz,6,Yes:Hyper-Threading,135Watts
Intel,Intel Xeon E5-1660 V3 (OEM/Tray),3.0GHz,8,Yes:Hyper-Threading,140Watts
Intel,Intel Pentium E6500,2.93GHz,2,No,65Watts
Intel,Intel Core i7-870,2.93GHz,4,Yes:Hyper-Threading,95Watts
Intel,Intel Xeon E5-2695 V3 (OEM/Tray),2.3GHz,14,Yes:Hyper-Threading,120Watts
AMD,AMD Opteron 6320 (OEM/Tray),2.8GHz,8,No,115Watts
Intel,Intel Core i5-5675C,3.1GHz,4,No,65Watts
AMD,AMD A4-3400,2.7GHz,2,No,65Watts
Intel,Intel Pentium G4500 (OEM/Tray),3.5GHz,2,No,51Watts
AMD,AMD Athlon II X4 645,3.1GHz,4,No,95Watts
Intel,Intel Pentium E2140,1.6GHz,2,No,65Watts
Intel,Intel Pentium E6300,2.8GHz,2,No,65Watts
Intel,Intel Core 2 Duo E8400 (OEM/Tray),3.0GHz,2,No,65Watts
Intel,Intel Core 2 Extreme QX9650 (OEM/Tray),3.0GHz,4,No,130Watts
Intel,Intel Core 2 Extreme QX9775,3.2GHz,4,No,150Watts
Intel,Intel Core i3-3220T,2.8GHz,2,Yes:Hyper-Threading,35Watts
Intel,Intel Xeon E5-2420V2,2.2GHz,6,Yes:Hyper-Threading,80Watts
Intel,Intel Xeon E5-2650 V3,2.3GHz,10,Yes:Hyper-Threading,105Watts
AMD,AMD Phenom II X4 945,3.0GHz,4,No,125Watts
Intel,Intel Pentium E2200 (OEM/Tray),2.2GHz,2,No,65Watts
Intel,Intel Pentium E5400,2.7GHz,2,No,65Watts
Intel,Intel Core 2 Duo E6320,1.86GHz,2,No,65Watts
Intel,Intel Core 2 Duo E6700 (OEM/Tray),2.66GHz,2,No,65Watts
Intel,Intel Core i7-860S,2.53GHz,4,Yes:Hyper-Threading,82Watts
Intel,Intel Core i7-920 (OEM/Tray),2.66GHz,4,Yes:Hyper-Threading,130Watts
AMD,AMD Athlon II X4 631,2.6GHz,4,No,100Watts
Intel,Intel Xeon E5-2650 V3 (OEM/Tray),2.3GHz,10,Yes:Hyper-Threading,105Watts
Intel,Intel Xeon E5-2687W V3 (OEM/Tray),3.1GHz,10,Yes:Hyper-Threading,160Watts
Intel,Intel Xeon E5-2695 V2,2.4GHz,12,Yes:Hyper-Threading,115Watts
Intel,Intel Xeon E5-4620,2.2GHz,8,Yes:Hyper-Threading,95Watts
Intel,Intel Pentium G645,2.9GHz,2,No,65Watts
Intel,Intel Xeon E3-1230,3.2GHz,4,Yes:Hyper-Threading,80Watts
AMD,AMD Phenom II X4 820 (OEM/Tray),2.8GHz,4,No,95Watts
Intel,Intel Xeon E5-2690 V3,2.6GHz,12,Yes:Hyper-Threading,135Watts
AMD,AMD Athlon X4 880K (OEM/Tray),4.0GHz,4,No,95Watts
AMD,AMD A8-5500,3.2GHz,4,No,65Watts
AMD,AMD Phenom II X4 945,3.0GHz,4,No,125Watts
Intel,Intel Celeron E1200,1.6GHz,2,No,65Watts
Intel,Intel Core 2 Duo E6700,2.66GHz,2,No,65Watts
Intel,Intel Core 2 Duo E7200,2.53GHz,2,No,65Watts
Intel,Intel Core 2 Duo E7500 (OEM/Tray),2.93GHz,2,No,65Watts
Intel,Intel Core 2 Extreme QX6700,2.66GHz,4,No,100Watts
Intel,Intel Xeon E5-2609 V3 (OEM/Tray),1.9GHz,6,No,85Watts
Intel,Intel Xeon E5-2623 V3 (OEM/Tray),3.0GHz,4,Yes:Hyper-Threading,105Watts
Intel,Intel Core i3-2130,3.4GHz,2,Yes:Hyper-Threading,65Watts
Intel,Intel Xeon E5-2630 V2 (OEM/Tray),2.6GHz,6,Yes:Hyper-Threading,80Watts
Intel,Intel Core i5-3340S,2.8GHz,4,No,65Watts
Intel,Intel Pentium G620,2.6GHz,2,No,65Watts
Intel,Intel Xeon E3-1285 V6 (OEM/Tray),4.1GHz,4,Yes:Hyper-Threading,79Watts
Intel,Intel Xeon E3-1265L V2,2.5GHz,4,Yes:Hyper-Threading,45Watts
Intel,Intel Xeon E3-1225 V6 (OEM/Tray),3.3GHz,4,No,73Watts
Intel,Intel Atom D2700 (OEM/Tray),2.13GHz,2,Yes:Hyper-Threading,10Watts
Intel,Intel Core i7-930,2.8GHz,4,Yes:Hyper-Threading,130Watts
Intel,Intel Core i3-2105,3.1GHz,2,Yes:Hyper-Threading,65Watts
AMD,AMD A10-6700,3.7GHz,4,No,65Watts
Intel,Intel Core i5-4570S (OEM/Tray),2.9GHz,4,No,65Watts
Intel,Intel Xeon E5-2640 V2,2.0GHz,8,Yes:Hyper-Threading,95Watts
Intel,Intel Xeon E5-2609 V2,2.5GHz,4,No,80Watts
AMD,AMD Athlon II X2 240,2.8GHz,2,No,65Watts
AMD,AMD Athlon II X2 250,3.0GHz,2,No,65Watts
Intel,Intel Celeron 430,1.8GHz,1,No,35Watts
AMD,AMD Phenom II X4 925,2.8GHz,4,No,95Watts
AMD,AMD Phenom II X6 1055T,2.8GHz,6,No,125Watts
AMD,AMD Phenom II X4 955 Black,3.2GHz,4,No,125Watts
AMD,AMD Phenom II X4 955 Black,3.2GHz,4,No,125Watts
AMD,AMD Phenom II X4 965 Black,3.4GHz,4,No,125Watts
Intel,Intel Pentium E2200,2.2GHz,2,No,65Watts
Intel,Intel Pentium E6600,3.06GHz,2,No,65Watts
Intel,Intel Core 2 Duo E8500,3.16GHz,2,No,65Watts
Intel,Intel Core 2 Duo E8500 (OEM/Tray),3.16GHz,2,No,65Watts
Intel,Intel Core i3-350M (OEM/Tray),2.27GHz,2,Yes:Hyper-Threading,35Watts
Intel,Intel Core i5-655K,3.2GHz,2,Yes:Hyper-Threading,73Watts
Intel,Intel Core 2 Quad Q6700 (OEM/Tray),2.66GHz,4,No,100Watts
Intel,Intel Core 2 Quad Q8400 (OEM/Tray),2.66GHz,4,No,95Watts
Intel,Intel Core 2 Quad Q9300,2.5GHz,4,No,95Watts
Intel,Intel Core 2 Quad Q9550 (OEM/Tray),2.83GHz,4,No,95Watts
Intel,Intel Xeon E3-1275 V5 (OEM/Tray),3.6GHz,4,Yes:Hyper-Threading,80Watts
Intel,Intel Core i7-6850K,3.6GHz,6,Yes:Hyper-Threading,140Watts
Intel,Intel Core i7-6900K,3.2GHz,8,Yes:Hyper-Threading,140Watts
AMD,AMD FX-8370E (OEM/Tray),3.3GHz,8,No,95Watts
Intel,Intel Core i5-2450P,3.2GHz,4,No,95Watts
AMD,AMD Athlon X2 350 (OEM/Tray),3.5GHz,2,No,65Watts
AMD,AMD Phenom II X2 B59 (OEM/Tray),3.4GHz,2,No,80Watts
Intel,Intel Pentium G3250T (OEM/Tray),2.8GHz,2,No,35Watts
Intel,Intel Pentium G3460 (OEM/Tray),3.5GHz,2,No,53Watts
AMD,AMD A6-3650 (OEM/Tray),2.6GHz,4,No,100Watts
Intel,Intel Xeon E5-2680 V3 (OEM/Tray),2.5GHz,12,Yes:Hyper-Threading,120Watts
Intel,Intel Xeon E5-1650 V4 (OEM/Tray),3.6GHz,6,Yes:Hyper-Threading,140Watts
AMD,AMD FX-4170,4.2GHz,4,No,125Watts
Intel,Intel Xeon E5-2650L V4 (OEM/Tray),1.7GHz,14,Yes:Hyper-Threading,65Watts
AMD,AMD A10-6790K,4.0GHz,4,No,100Watts
AMD,AMD Athlon II X4 645 (OEM/Tray),3.1GHz,4,No,95Watts
Intel,Intel Core i3-3240 (OEM/Tray),3.4GHz,2,Yes:Hyper-Threading,55Watts
Intel,Intel Pentium E6800,3.33GHz,2,No,65Watts
Intel,Intel Pentium E5700,3.0GHz,2,No,65Watts
AMD,AMD FX-8300 (OEM/Tray),3.3GHz,8,No,95Watts
AMD,AMD FX-8150,3.6GHz,8,No,125Watts
Intel,Intel Pentium G3470 (OEM/Tray),3.6GHz,2,No,53Watts
AMD,AMD Phenom II X4 955 (OEM/Tray),3.2GHz,4,No,125Watts
Intel,Intel Core i3-7100T,3.4GHz,2,Yes:Hyper-Threading,35Watts
Intel,Intel Pentium E6700,3.2GHz,2,No,65Watts
Intel,Intel Celeron G1620,2.7GHz,2,No,55Watts
Intel,Intel Core i5-2405S,2.5GHz,4,No,65Watts
Intel,Intel Core i7-3770T (OEM/Tray),2.5GHz,4,Yes:Hyper-Threading,45Watts
AMD,AMD Sempron X2 190 (OEM/Tray),2.5GHz,2,No,45Watts
AMD,AMD FX-4350 (OEM/Tray),4.2GHz,4,No,125Watts
AMD,AMD FX-6200 (OEM/Tray),3.8GHz,6,No,125Watts
AMD,AMD FX-8120 (OEM/Tray),3.1GHz,8,No,125Watts
AMD,AMD Phenom II X4 980 Black,3.7GHz,4,No,125Watts
Intel,Intel Core i3-560,3.33GHz,2,Yes:Hyper-Threading,73Watts
AMD,AMD Athlon X4 740,3.2GHz,4,No,65Watts
Intel,Intel Pentium G640T,2.4GHz,2,No,35Watts
AMD,AMD Phenom II X4 975 (OEM/Tray),3.6GHz,4,No,125Watts
Intel,Intel Pentium G2130,3.2GHz,2,No,55Watts
Intel,Intel Core i5-6500T,2.5GHz,4,No,35Watts
Intel,Intel Core i5-7400T,2.4GHz,4,No,35Watts
AMD,AMD Athlon X4 760K,3.8GHz,4,No,100Watts
Intel,Intel Core i5-7600T,2.8GHz,4,No,35Watts
Intel,Intel Core i5-4570S,2.9GHz,4,No,65Watts
AMD,AMD A4-6300B (OEM/Tray),3.7GHz,2,No,65Watts
AMD,AMD Phenom II X6 1100T Black (OEM/Tray),3.3GHz,6,No,125Watts
Intel,Intel Pentium G3260,3.3GHz,2,No,53Watts
Intel,Intel Celeron G3950,3.0GHz,2,No,51Watts
Intel,Intel Xeon E5-2698 V4 (OEM/Tray),2.2GHz,20,Yes:Hyper-Threading,135Watts
Intel,Intel Core i5-7640X (OEM/Tray),4.0GHz,4,No,112Watts
Intel,Intel Celeron G1830,2.8GHz,2,No,53Watts
AMD,AMD Sempron 145,2.8GHz,1,No,45Watts
AMD,AMD Athlon X2 340,3.2GHz,2,No,65Watts
AMD,AMD A6-5400K,3.6GHz,2,No,65Watts
Intel,Intel Xeon E3-1225 V6,3.3GHz,4,No,73Watts
Intel,Intel Core 2 Duo E8400,3.0GHz,2,No,65Watts
Intel,Intel Core i5-4430,3.0GHz,4,No,84Watts
Intel,Intel Xeon E5-2650L V2 (OEM/Tray),1.7GHz,10,Yes:Hyper-Threading,70Watts
Intel,Intel Core i7-7700T (OEM/Tray),2.9GHz,4,Yes:Hyper-Threading,35Watts
Intel,Intel Core i3-7320,4.1GHz,2,Yes:Hyper-Threading,51Watts
Intel,Intel Core i3-7300T,3.5GHz,2,Yes:Hyper-Threading,35Watts
Intel,Intel Core i7-870 (OEM/Tray),2.93GHz,4,Yes:Hyper-Threading,95Watts
AMD,AMD Phenom II X4 920,2.8GHz,4,No,125Watts
Intel,Intel Pentium G4600T (OEM/Tray),3.0GHz,2,Yes:Hyper-Threading,35Watts
Intel,Intel Pentium E2220,2.4GHz,2,No,65Watts
Intel,Intel Core i3-4370,3.8GHz,2,Yes:Hyper-Threading,54Watts
Intel,Intel Pentium G3250 (OEM/Tray),3.2GHz,2,No,53Watts
Intel,Intel Xeon E5-2690,2.9GHz,8,Yes:Hyper-Threading,135Watts
Intel,Intel Xeon E3-1230 V2,3.3GHz,4,Yes:Hyper-Threading,69Watts
Intel,Intel Xeon E5-2470V2,2.4GHz,10,Yes:Hyper-Threading,95Watts
Intel,Intel Xeon E5-2660 V4,2.0GHz,14,Yes:Hyper-Threading,105Watts
